contest, issue, type, #auditor
20, H-04, C, 2
20, H-05, O2, 2
20, H-06, S3, 1
20, H-07, O3, 2
20, H-08, S3, 1
20, H-09, S2, 1
20, H-10, S6, 1
20, H-11, S6, 1
20, H-12, S3, 1
20, H-13, O2, 1
18, H-02, S3, 1
18, H-03, S4, 1
17, H-01, L7, 2
17, H-02, L2, 2
17, H-03, O5, 3
17, H-04, L3, 2
16, H-01, S6, 2
16, H-02, S6, 1
16, H-03, O1, 3
16, H-04, S6, 1
16, H-05, S2, 1
16, H-06, O3, 1
14, H-01, O5, 1
14, H-02, S6, 2
14, H-03, S6, 1
14, H-04, O3, 1
14, H-05, S6, 1
13, H-01, L8, 8
13, H-02, S2, 1
13, H-03, S2, 4
13, H-04, S2, 1
12, H-01, S3, 2
12, H-02, O3, 1
12, H-03, S6, 1
11, H-01, C, 1
11, H-02, S3, 3
11, H-03, S3, 2
11, H-04, S4, 1
11, H-05, C, 3
11, H-06, L7, 2
11, H-07, S6, 1
11, H-08, S6, 1
10, H-01, S2, 2
10, H-02, C, 2
10, H-03, S2, 3
10, H-04, O3, 6
8, H-01, O3, 4
8, H-02, O3, 5
8, H-03, S6, 2
8, H-04, O2, 2
7, H-01, O5, 1
7, H-02, O5, 2
